selected,total,duration,solving_time,instant,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,"(1, 9)","(2, 10)","(3, 11)","(9, 1)","(10, 2)","(11, 3)","(12, 4)","(13, 5)","(15, 7)","(16, 8)","(10, 9)","(9, 10)","(11, 10)","(10, 11)","(12, 11)","(11, 12)","(13, 12)","(12, 13)","(14, 13)","(13, 14)","(15, 14)","(14, 15)","(16, 15)","(15, 16)","(9, 16)","(16, 9)","(10, 17)","(12, 17)","(17, 12)","(14, 17)","(17, 14)","(16, 17)","(17, 16)","(10, 18)","(18, 10)","(12, 18)","(18, 12)","(14, 18)","(18, 14)","(16, 18)","(18, 16)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,6.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,11.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,16.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,21.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,26.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,31.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,36.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,41.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,46.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,51.0,0.9,0.8,0.0,0.0,0.0,0.7,0.4,0.9,0.86,0.64,0.72,0.72,0.7,0.88,0.86,0.348,0.348,0.672,0.674,0.0,0.09,0.08,0.0,0.0,0.0,0.084,0.048,0.084,0.032,0.125,0.104,0.21,0.072,0.005,0.036,0.0,0.04,0.042,0.0,0.063,0.315,0.653,0.13,0.022,0.038,0.0,0.017,0.0,0.1318,0.0,0.0416,0.002,0.08,0.0,0.022,0.0046,0.0718,0.0
0.0,0.0,0.0,0.0,56.0,0.9,0.8,0.0,0.0,0.0,0.7,0.4,0.9,0.86,0.64,0.72,0.72,0.7,0.88,0.86,0.348,0.348,0.672,0.674,0.0,0.09,0.08,0.0,0.0,0.0,0.084,0.048,0.084,0.032,0.125,0.104,0.21,0.072,0.005,0.036,0.0,0.04,0.042,0.0,0.063,0.315,0.653,0.13,0.022,0.038,0.0,0.017,0.0,0.1318,0.0,0.0416,0.002,0.08,0.0,0.022,0.0046,0.0718,0.0
0.0,0.0,0.0,0.0,61.0,0.9,0.8,0.0,0.0,0.0,0.7,0.4,0.9,0.86,0.64,0.72,0.72,0.7,0.88,0.86,0.348,0.348,0.672,0.674,0.0,0.09,0.08,0.0,0.0,0.0,0.084,0.048,0.084,0.032,0.125,0.104,0.21,0.072,0.005,0.036,0.0,0.04,0.042,0.0,0.063,0.315,0.653,0.13,0.022,0.038,0.0,0.017,0.0,0.1318,0.0,0.0416,0.002,0.08,0.0,0.022,0.0046,0.0718,0.0
0.0,0.0,0.0,0.0,66.0,0.9,0.8,0.0,0.0,0.0,0.7,0.4,0.9,0.86,0.64,0.72,0.72,0.7,0.88,0.86,0.348,0.348,0.672,0.674,0.0,0.09,0.08,0.0,0.0,0.0,0.084,0.048,0.084,0.032,0.125,0.104,0.21,0.072,0.005,0.036,0.0,0.04,0.042,0.0,0.063,0.315,0.653,0.13,0.022,0.038,0.0,0.017,0.0,0.1318,0.0,0.0416,0.002,0.08,0.0,0.022,0.0046,0.0718,0.0
0.0,0.0,0.0,0.0,71.0,0.9,0.8,0.0,0.0,0.0,0.7,0.4,0.9,0.86,0.64,0.72,0.72,0.7,0.88,0.86,0.348,0.348,0.672,0.674,0.0,0.09,0.08,0.0,0.0,0.0,0.084,0.048,0.084,0.032,0.125,0.104,0.21,0.072,0.005,0.036,0.0,0.04,0.042,0.0,0.063,0.315,0.653,0.13,0.022,0.038,0.0,0.017,0.0,0.1318,0.0,0.0416,0.002,0.08,0.0,0.022,0.0046,0.0718,0.0
0.0,0.0,0.0,0.0,76.0,0.9,0.8,0.0,0.0,0.0,0.7,0.4,0.9,0.86,0.64,0.72,0.72,0.7,0.88,0.86,0.348,0.348,0.672,0.674,0.0,0.09,0.08,0.0,0.0,0.0,0.084,0.048,0.084,0.032,0.125,0.104,0.21,0.072,0.005,0.036,0.0,0.04,0.042,0.0,0.063,0.315,0.653,0.13,0.022,0.038,0.0,0.017,0.0,0.1318,0.0,0.0416,0.002,0.08,0.0,0.022,0.0046,0.0718,0.0
0.0,0.0,0.0,0.0,81.0,0.9,0.8,0.0,0.0,0.0,0.7,0.4,0.9,0.86,0.64,0.72,0.72,0.7,0.88,0.86,0.348,0.348,0.672,0.674,0.0,0.09,0.08,0.0,0.0,0.0,0.084,0.048,0.084,0.032,0.125,0.104,0.21,0.072,0.005,0.036,0.0,0.04,0.042,0.0,0.063,0.315,0.653,0.13,0.022,0.038,0.0,0.017,0.0,0.1318,0.0,0.0416,0.002,0.08,0.0,0.022,0.0046,0.0718,0.0
0.0,0.0,0.0,0.0,86.0,0.9,0.8,0.0,0.0,0.0,0.7,0.4,0.9,0.86,0.64,0.72,0.72,0.7,0.88,0.86,0.348,0.348,0.672,0.674,0.0,0.09,0.08,0.0,0.0,0.0,0.084,0.048,0.084,0.032,0.125,0.104,0.21,0.072,0.005,0.036,0.0,0.04,0.042,0.0,0.063,0.315,0.653,0.13,0.022,0.038,0.0,0.017,0.0,0.1318,0.0,0.0416,0.002,0.08,0.0,0.022,0.0046,0.0718,0.0
0.0,0.0,0.0,0.0,91.0,0.9,0.8,0.0,0.0,0.0,0.7,0.4,0.9,0.86,0.64,0.72,0.72,0.7,0.88,0.86,0.348,0.348,0.672,0.674,0.0,0.09,0.08,0.0,0.0,0.0,0.084,0.048,0.084,0.032,0.125,0.104,0.21,0.072,0.005,0.036,0.0,0.04,0.042,0.0,0.063,0.315,0.653,0.13,0.022,0.038,0.0,0.017,0.0,0.1318,0.0,0.0416,0.002,0.08,0.0,0.022,0.0046,0.0718,0.0
0.0,0.0,0.0,0.0,96.0,0.9,0.8,0.0,0.0,0.0,0.7,0.4,0.9,0.86,0.64,0.72,0.72,0.7,0.88,0.86,0.348,0.348,0.672,0.674,0.0,0.09,0.08,0.0,0.0,0.0,0.084,0.048,0.084,0.032,0.125,0.104,0.21,0.072,0.005,0.036,0.0,0.04,0.042,0.0,0.063,0.315,0.653,0.13,0.022,0.038,0.0,0.017,0.0,0.1318,0.0,0.0416,0.002,0.08,0.0,0.022,0.0046,0.0718,0.0
0.0,0.0,0.0,0.0,101.0,0.9,0.8,0.8,0.0,0.0,0.7,0.6,0.9,0.86,0.86,0.78,0.76,0.74,0.88,0.86,0.664,0.666,0.672,0.674,0.674,0.09,0.08,0.08,0.0,0.0,0.084,0.072,0.111,0.463,0.358,0.161,0.085,0.077,0.06,0.038,0.0,0.2,0.029,0.0,0.055,0.32,0.454,0.11,0.1224,0.096,0.0,0.057,0.0,0.123,0.0,0.0902,0.005,0.085,0.0,0.146,0.0066,0.09,0.0
0.0,0.0,0.0,0.0,106.0,0.9,0.8,0.8,0.0,0.0,0.7,0.6,0.9,0.86,0.86,0.78,0.76,0.74,0.88,0.86,0.664,0.666,0.672,0.674,0.674,0.09,0.08,0.08,0.0,0.0,0.084,0.072,0.111,0.463,0.358,0.161,0.085,0.077,0.06,0.038,0.0,0.2,0.029,0.0,0.055,0.32,0.454,0.11,0.1224,0.096,0.0,0.057,0.0,0.123,0.0,0.0902,0.005,0.085,0.0,0.146,0.0066,0.09,0.0
0.0,0.0,0.0,0.0,111.0,0.9,0.8,0.8,0.0,0.0,0.7,0.6,0.9,0.86,0.86,0.78,0.76,0.74,0.88,0.86,0.664,0.666,0.672,0.674,0.674,0.09,0.08,0.08,0.0,0.0,0.084,0.072,0.111,0.463,0.358,0.161,0.085,0.077,0.06,0.038,0.0,0.2,0.029,0.0,0.055,0.32,0.454,0.11,0.1224,0.096,0.0,0.057,0.0,0.123,0.0,0.0902,0.005,0.085,0.0,0.146,0.0066,0.09,0.0
0.0,0.0,0.0,0.0,116.0,0.9,0.8,0.8,0.0,0.0,0.7,0.6,0.9,0.86,0.86,0.78,0.76,0.74,0.88,0.86,0.664,0.666,0.672,0.674,0.674,0.09,0.08,0.08,0.0,0.0,0.084,0.072,0.111,0.463,0.358,0.161,0.085,0.077,0.06,0.038,0.0,0.2,0.029,0.0,0.055,0.32,0.454,0.11,0.1224,0.096,0.0,0.057,0.0,0.123,0.0,0.0902,0.005,0.085,0.0,0.146,0.0066,0.09,0.0
0.0,0.0,0.0,0.0,121.0,0.9,0.8,0.8,0.0,0.0,0.7,0.6,0.9,0.86,0.86,0.78,0.76,0.74,0.88,0.86,0.664,0.666,0.672,0.674,0.674,0.09,0.08,0.08,0.0,0.0,0.084,0.072,0.111,0.463,0.358,0.161,0.085,0.077,0.06,0.038,0.0,0.2,0.029,0.0,0.055,0.32,0.454,0.11,0.1224,0.096,0.0,0.057,0.0,0.123,0.0,0.0902,0.005,0.085,0.0,0.146,0.0066,0.09,0.0
0.0,0.0,0.0,0.0,126.0,0.9,0.8,0.8,0.0,0.0,0.7,0.6,0.9,0.86,0.86,0.78,0.76,0.74,0.88,0.86,0.664,0.666,0.672,0.674,0.674,0.09,0.08,0.08,0.0,0.0,0.084,0.072,0.111,0.463,0.358,0.161,0.085,0.077,0.06,0.038,0.0,0.2,0.029,0.0,0.055,0.32,0.454,0.11,0.1224,0.096,0.0,0.057,0.0,0.123,0.0,0.0902,0.005,0.085,0.0,0.146,0.0066,0.09,0.0
0.0,0.0,0.0,0.0,131.0,0.9,0.8,0.8,0.0,0.0,0.7,0.6,0.9,0.86,0.86,0.78,0.76,0.74,0.88,0.86,0.664,0.666,0.672,0.674,0.674,0.09,0.08,0.08,0.0,0.0,0.084,0.072,0.111,0.463,0.358,0.161,0.085,0.077,0.06,0.038,0.0,0.2,0.029,0.0,0.055,0.32,0.454,0.11,0.1224,0.096,0.0,0.057,0.0,0.123,0.0,0.0902,0.005,0.085,0.0,0.146,0.0066,0.09,0.0
0.0,0.0,0.0,0.0,136.0,0.9,0.8,0.8,0.0,0.0,0.7,0.6,0.9,0.86,0.86,0.78,0.76,0.74,0.88,0.86,0.664,0.666,0.672,0.674,0.674,0.09,0.08,0.08,0.0,0.0,0.084,0.072,0.111,0.463,0.358,0.161,0.085,0.077,0.06,0.038,0.0,0.2,0.029,0.0,0.055,0.32,0.454,0.11,0.1224,0.096,0.0,0.057,0.0,0.123,0.0,0.0902,0.005,0.085,0.0,0.146,0.0066,0.09,0.0
0.0,0.0,0.0,0.0,141.0,0.9,0.8,0.8,0.0,0.0,0.7,0.6,0.9,0.86,0.86,0.78,0.76,0.74,0.88,0.86,0.664,0.666,0.672,0.674,0.674,0.09,0.08,0.08,0.0,0.0,0.084,0.072,0.111,0.463,0.358,0.161,0.085,0.077,0.06,0.038,0.0,0.2,0.029,0.0,0.055,0.32,0.454,0.11,0.1224,0.096,0.0,0.057,0.0,0.123,0.0,0.0902,0.005,0.085,0.0,0.146,0.0066,0.09,0.0
0.0,0.0,0.0,0.0,146.0,0.9,0.8,0.8,0.0,0.0,0.7,0.6,0.9,0.86,0.86,0.78,0.76,0.74,0.88,0.86,0.664,0.666,0.672,0.674,0.674,0.09,0.08,0.08,0.0,0.0,0.084,0.072,0.111,0.463,0.358,0.161,0.085,0.077,0.06,0.038,0.0,0.2,0.029,0.0,0.055,0.32,0.454,0.11,0.1224,0.096,0.0,0.057,0.0,0.123,0.0,0.0902,0.005,0.085,0.0,0.146,0.0066,0.09,0.0
0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,201.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,206.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,211.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,216.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,221.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,226.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,231.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,236.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,241.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,246.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.5,0.26,0.58,0.86,0.86,0.0,0.174,0.672,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.308,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.035,0.005,0.0,0.0,0.0614,0.002
0.0,0.0,0.0,0.0,250.0,0.9,0.0,0.0,0.0,0.0,0.5,0.3,0.9,0.86,0.0,0.6,0.26,0.58,0.86,0.86,0.188,0.302,0.998,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.036,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.01,0.117,0.015,0.09,0.075,0.471,0.095,0.0,0.094,0.0,0.0,0.0,0.0188,0.0,0.015,0.0,0.099,0.006,0.0,0.0,0.0752,0.002
0.0,0.0,0.0,0.0,251.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.72,0.0,0.0,0.0,0.1,0.328,0.52,0.998,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.17,0.0,0.164,0.0,0.0,0.0,0.0328,0.0,0.0,0.0,0.299,0.0072,0.0,0.0,0.0592,0.039
