,,,,instant,0,1,2,3,(0-2),(1-3),(1-2),(2-3)
,,,,481,0.040,0.710,0.120,0.001,0.020,0.000,0.610,0.002
,,,,482,0.040,0.630,0.113,0.001,0.017,0.000,0.580,0.002
,,,,483,0.020,0.800,0.128,0.003,0.017,0.000,0.683,0.002
,,,,484,0.020,0.470,0.152,0.012,0.023,0.002,0.573,0.005
,,,,485,0.030,0.640,0.110,0.017,0.043,0.002,0.653,0.007
,,,,486,0.040,0.520,0.093,0.018,0.050,0.002,0.477,0.007
,,,,487,0.040,0.700,0.088,0.020,0.060,0.002,0.573,0.008
,,,,488,0.050,0.620,0.093,0.019,0.070,0.001,0.520,0.008
,,,,489,0.080,0.680,0.102,0.017,0.083,0.000,0.583,0.008
,,,,490,0.070,0.620,0.106,0.022,0.097,0.000,0.560,0.010
,,,,491,0.130,0.570,0.090,0.024,0.127,0.000,0.480,0.013
,,,,492,0.140,0.680,0.105,0.020,0.117,0.000,0.587,0.012
,,,,493,0.180,0.510,0.096,0.026,0.153,0.000,0.497,0.015
,,,,494,0.240,0.560,0.101,0.024,0.167,0.000,0.523,0.017
,,,,495,0.200,0.480,0.125,0.031,0.173,0.000,0.647,0.017
,,,,496,0.250,0.510,0.103,0.041,0.237,0.000,0.507,0.024
,,,,497,0.160,0.600,0.111,0.044,0.197,0.000,0.560,0.020
,,,,498,0.190,0.480,0.104,0.058,0.257,0.000,0.520,0.026
,,,,499,0.220,0.450,0.095,0.061,0.273,0.000,0.457,0.027
,,,,500,0.260,0.350,0.082,0.058,0.290,0.000,0.387,0.029
,,,,501,0.300,0.390,0.083,0.075,0.360,0.000,0.440,0.036
,,,,502,0.280,0.330,0.105,0.068,0.323,0.000,0.430,0.032
,,,,503,0.310,0.320,0.074,0.055,0.290,0.000,0.357,0.029
,,,,504,0.260,0.420,0.067,0.068,0.307,0.000,0.350,0.031
,,,,505,0.250,0.360,0.079,0.063,0.273,0.000,0.383,0.027
,,,,506,0.260,0.430,0.093,0.063,0.290,0.000,0.470,0.029
,,,,507,0.250,0.440,0.085,0.069,0.297,0.000,0.423,0.030
,,,,508,0.280,0.350,0.094,0.065,0.307,0.000,0.403,0.031
,,,,509,0.360,0.320,0.083,0.057,0.377,0.000,0.350,0.038
,,,,510,0.320,0.280,0.062,0.072,0.347,0.000,0.307,0.035
,,,,511,0.350,0.240,0.053,0.065,0.330,0.000,0.257,0.033
,,,,512,0.380,0.300,0.050,0.071,0.360,0.000,0.260,0.036
,,,,513,0.300,0.260,0.067,0.077,0.343,0.000,0.333,0.034
,,,,514,0.410,0.180,0.063,0.087,0.430,0.000,0.267,0.043
,,,,515,0.390,0.190,0.052,0.114,0.540,0.000,0.227,0.054
,,,,516,0.440,0.110,0.054,0.089,0.437,0.000,0.230,0.044
,,,,517,0.520,0.170,0.051,0.097,0.503,0.000,0.230,0.050
,,,,518,0.410,0.170,0.054,0.095,0.463,0.000,0.240,0.046
,,,,519,0.430,0.180,0.045,0.101,0.477,0.000,0.207,0.048
,,,,520,0.350,0.150,0.048,0.093,0.440,0.000,0.200,0.044
,,,,521,0.480,0.130,0.049,0.095,0.440,0.000,0.203,0.044
,,,,522,0.400,0.100,0.040,0.111,0.480,0.000,0.170,0.048
,,,,523,0.550,0.110,0.043,0.107,0.523,0.000,0.180,0.052
,,,,524,0.580,0.130,0.045,0.104,0.540,0.000,0.193,0.054
,,,,525,0.550,0.170,0.051,0.096,0.510,0.000,0.227,0.051
,,,,526,0.530,0.150,0.041,0.098,0.497,0.000,0.180,0.050
,,,,527,0.540,0.110,0.046,0.094,0.483,0.000,0.163,0.048
,,,,528,0.490,0.120,0.030,0.098,0.513,0.000,0.143,0.051
,,,,529,0.580,0.140,0.021,0.118,0.657,0.000,0.113,0.066
,,,,530,0.510,0.100,0.016,0.124,0.573,0.000,0.087,0.057
,,,,531,0.540,0.140,0.018,0.119,0.573,0.000,0.103,0.057
,,,,532,0.530,0.130,0.016,0.121,0.563,0.000,0.093,0.056
,,,,533,0.650,0.140,0.019,0.155,0.717,0.000,0.107,0.072
,,,,534,0.560,0.160,0.023,0.135,0.607,0.000,0.120,0.061
,,,,535,0.440,0.120,0.023,0.140,0.643,0.000,0.117,0.064
,,,,536,0.620,0.100,0.012,0.104,0.630,0.000,0.073,0.063
,,,,537,0.470,0.090,0.013,0.113,0.527,0.000,0.073,0.053
,,,,538,0.460,0.110,0.014,0.111,0.510,0.000,0.083,0.051
,,,,539,0.470,0.040,0.005,0.107,0.520,0.000,0.030,0.052
,,,,540,0.470,0.040,0.002,0.104,0.493,0.000,0.020,0.049
,,,,541,0.460,0.040,0.002,0.124,0.587,0.000,0.020,0.059
,,,,542,0.470,0.080,0.003,0.112,0.530,0.000,0.037,0.053
,,,,543,0.450,0.100,0.014,0.118,0.537,0.000,0.080,0.054
,,,,544,0.560,0.090,0.032,0.117,0.540,0.000,0.137,0.054
,,,,545,0.450,0.160,0.046,0.105,0.497,0.000,0.207,0.050
,,,,546,0.490,0.260,0.056,0.098,0.480,0.000,0.283,0.048
,,,,547,0.360,0.290,0.057,0.110,0.470,0.000,0.287,0.047
,,,,548,0.370,0.330,0.065,0.134,0.587,0.000,0.320,0.059
,,,,549,0.350,0.390,0.073,0.109,0.503,0.000,0.380,0.050
,,,,550,0.420,0.470,0.078,0.080,0.393,0.000,0.427,0.039
,,,,551,0.400,0.510,0.089,0.097,0.440,0.000,0.463,0.044
,,,,552,0.360,0.630,0.118,0.106,0.463,0.000,0.637,0.046
,,,,553,0.410,0.670,0.099,0.108,0.493,0.000,0.600,0.049
,,,,554,0.550,0.720,0.147,0.108,0.527,0.000,0.690,0.053
,,,,555,0.600,0.680,0.144,0.112,0.517,0.006,0.703,0.057
,,,,556,0.630,0.760,0.149,0.140,0.563,0.012,0.813,0.068
,,,,557,0.720,0.660,0.187,0.125,0.470,0.016,0.807,0.063
,,,,558,0.670,0.640,0.148,0.157,0.533,0.021,0.700,0.074
,,,,559,0.540,0.650,0.153,0.129,0.453,0.018,0.683,0.063
,,,,560,0.690,0.790,0.145,0.157,0.583,0.019,0.733,0.077
,,,,561,0.450,0.750,0.168,0.216,0.483,0.031,0.803,0.068
,,,,562,0.490,0.810,0.142,0.209,0.517,0.036,0.670,0.088
,,,,563,0.430,0.810,0.161,0.213,0.430,0.042,0.783,0.085
,,,,564,0.420,0.470,0.185,0.233,0.463,0.049,0.743,0.090
,,,,565,0.340,0.580,0.188,0.233,0.413,0.050,0.823,0.090
,,,,566,0.380,0.420,0.188,0.265,0.393,0.075,0.823,0.101
,,,,567,0.380,0.600,0.142,0.243,0.400,0.055,0.667,0.094
,,,,568,0.370,0.720,0.167,0.272,0.393,0.059,0.800,0.104
,,,,569,0.490,0.730,0.154,0.256,0.437,0.059,0.737,0.099
,,,,570,0.560,0.760,0.145,0.339,0.547,0.082,0.803,0.128
,,,,571,0.400,0.720,0.145,0.332,0.433,0.080,0.793,0.123
,,,,572,0.350,0.610,0.183,0.362,0.500,0.092,0.723,0.133
,,,,573,0.340,0.590,0.175,0.382,0.433,0.109,0.813,0.140
,,,,574,0.420,0.520,0.128,0.386,0.423,0.104,0.597,0.140
,,,,575,0.340,0.720,0.164,0.440,0.430,0.106,0.787,0.160
,,,,576,0.330,0.790,0.129,0.417,0.327,0.113,0.673,0.150
,,,,577,0.350,0.700,0.179,0.358,0.343,0.096,0.790,0.131
,,,,578,0.360,0.680,0.163,0.332,0.390,0.093,0.777,0.121
,,,,579,0.320,0.660,0.177,0.362,0.293,0.102,0.793,0.131
,,,,580,0.290,0.560,0.170,0.382,0.287,0.108,0.740,0.137
,,,,581,0.260,0.680,0.173,0.347,0.283,0.098,0.800,0.125
,,,,582,0.280,0.710,0.167,0.459,0.290,0.129,0.787,0.164
,,,,583,0.220,0.700,0.161,0.577,0.313,0.165,0.783,0.205
,,,,584,0.200,0.760,0.159,0.433,0.280,0.124,0.783,0.151
,,,,585,0.180,0.730,0.158,0.575,0.253,0.167,0.783,0.200
,,,,586,0.170,0.810,0.173,0.678,0.213,0.200,0.803,0.235
,,,,587,0.150,0.630,0.155,0.500,0.203,0.153,0.687,0.172
,,,,588,0.150,0.650,0.177,0.448,0.190,0.139,0.800,0.154
,,,,589,0.170,0.700,0.166,0.512,0.233,0.158,0.780,0.187
,,,,590,0.110,0.720,0.161,0.579,0.137,0.181,0.747,0.169
,,,,591,0.170,0.770,0.145,0.503,0.170,0.158,0.757,0.172
,,,,592,0.130,0.730,0.161,0.512,0.157,0.159,0.780,0.175
,,,,593,0.180,0.730,0.165,0.601,0.163,0.193,0.787,0.206
,,,,594,0.190,0.670,0.165,0.554,0.153,0.175,0.793,0.191
,,,,595,0.150,0.670,0.168,0.669,0.127,0.212,0.810,0.230
,,,,596,0.180,0.550,0.116,0.521,0.133,0.168,0.560,0.179
,,,,597,0.210,0.700,0.195,0.598,0.147,0.194,0.790,0.205
,,,,598,0.060,0.700,0.169,0.600,0.063,0.196,0.787,0.203
,,,,599,0.060,0.680,0.181,0.617,0.030,0.203,0.797,0.208
,,,,600,0.040,0.700,0.177,0.727,0.013,0.239,0.820,0.244
,,,,601,0.010,0.640,0.173,0.561,0.007,0.187,0.773,0.187
,,,,602,0.010,0.630,0.184,0.547,0.007,0.182,0.803,0.183
,,,,603,0.030,0.770,0.167,0.581,0.013,0.193,0.783,0.195
,,,,604,0.050,0.630,0.129,0.633,0.033,0.209,0.627,0.213
,,,,605,0.080,0.730,0.155,0.617,0.053,0.203,0.760,0.208
,,,,606,0.100,0.710,0.166,0.626,0.087,0.203,0.790,0.212
,,,,607,0.110,0.700,0.173,0.720,0.093,0.233,0.817,0.243
,,,,608,0.060,0.680,0.194,0.675,0.083,0.219,0.807,0.227
,,,,609,0.060,0.810,0.131,0.650,0.080,0.210,0.633,0.218
,,,,610,0.070,0.470,0.204,0.770,0.067,0.249,0.767,0.259
,,,,611,0.070,0.690,0.222,0.646,0.083,0.211,0.897,0.219
,,,,612,0.060,0.580,0.175,0.650,0.083,0.212,0.677,0.220
,,,,613,0.090,0.700,0.175,0.682,0.110,0.220,0.807,0.232
,,,,614,0.070,0.790,0.170,0.733,0.133,0.236,0.823,0.248
,,,,615,0.150,0.770,0.166,0.707,0.147,0.227,0.783,0.241
,,,,616,0.180,0.640,0.183,0.706,0.190,0.226,0.847,0.241
,,,,617,0.160,0.780,0.179,0.763,0.180,0.243,0.810,0.262
,,,,618,0.190,0.660,0.245,0.718,0.213,0.229,0.903,0.250
,,,,619,0.230,0.700,0.190,0.717,0.230,0.228,0.817,0.250
,,,,620,0.210,0.700,0.187,0.729,0.227,0.235,0.893,0.256
,,,,621,0.230,0.660,0.208,0.709,0.240,0.227,0.853,0.250
,,,,622,0.280,0.700,0.174,0.867,0.273,0.276,0.893,0.307
,,,,623,0.230,0.790,0.154,0.789,0.287,0.250,0.633,0.279
,,,,624,0.330,0.770,0.189,0.701,0.370,0.218,0.793,0.284
,,,,625,0.350,0.700,0.195,0.724,0.350,0.223,0.827,0.258
,,,,626,0.340,0.640,0.210,0.700,0.337,0.216,0.863,0.250
,,,,627,0.390,0.660,0.227,0.884,0.407,0.275,0.907,0.320
,,,,628,0.380,0.800,0.242,0.701,0.457,0.218,0.830,0.269
,,,,629,0.460,0.730,0.232,0.764,0.373,0.243,0.840,0.279
,,,,630,0.350,0.650,0.227,0.815,0.437,0.241,0.827,0.296
,,,,631,0.330,0.690,0.203,0.814,0.397,0.260,0.717,0.298
,,,,632,0.420,0.820,0.237,0.738,0.383,0.236,0.830,0.273
,,,,633,0.400,0.600,0.237,0.802,0.423,0.253,0.863,0.293
,,,,634,0.380,0.680,0.246,0.697,0.380,0.220,0.900,0.257
,,,,635,0.350,0.770,0.232,0.770,0.470,0.240,0.870,0.277
,,,,636,0.460,0.750,0.211,0.771,0.400,0.239,0.843,0.278
,,,,637,0.420,0.750,0.221,0.765,0.400,0.239,0.877,0.276
,,,,638,0.350,0.690,0.220,0.796,0.377,0.250,0.867,0.286
,,,,639,0.350,0.670,0.227,0.744,0.337,0.236,0.887,0.270
,,,,640,0.350,0.750,0.221,0.835,0.363,0.265,0.823,0.309
,,,,641,0.460,0.670,0.226,0.681,0.387,0.215,0.813,0.253
,,,,642,0.310,0.750,0.203,0.737,0.397,0.227,0.827,0.266
,,,,643,0.290,0.660,0.218,0.726,0.393,0.222,0.827,0.264
,,,,644,0.380,0.700,0.183,0.836,0.483,0.256,0.877,0.302
,,,,645,0.380,0.700,0.226,0.752,0.477,0.234,0.833,0.277
,,,,646,0.300,0.760,0.217,0.760,0.407,0.232,0.837,0.274
,,,,647,0.380,0.760,0.242,0.832,0.497,0.257,0.873,0.305
,,,,648,0.500,0.760,0.219,0.944,0.500,0.295,0.950,0.347
,,,,649,0.440,0.570,0.237,0.691,0.543,0.214,0.830,0.284
,,,,650,0.520,0.790,0.205,0.709,0.523,0.217,0.770,0.267
,,,,651,0.660,0.730,0.218,0.782,0.597,0.233,0.847,0.294
,,,,652,0.480,0.780,0.205,0.679,0.543,0.195,0.837,0.252
,,,,653,0.500,0.710,0.187,0.856,0.627,0.249,0.887,0.308
,,,,654,0.650,0.350,0.233,0.724,0.573,0.214,0.987,0.270
,,,,655,0.580,0.600,0.221,0.755,0.543,0.242,0.807,0.286
,,,,656,0.770,0.700,0.207,0.660,0.673,0.193,0.803,0.253
,,,,657,0.670,0.770,0.214,0.744,0.560,0.231,0.830,0.283
,,,,658,0.820,0.660,0.198,0.758,0.720,0.217,0.840,0.282
,,,,659,0.620,0.690,0.178,0.688,0.610,0.193,0.813,0.251
,,,,660,0.510,0.540,0.186,0.777,0.560,0.222,0.853,0.279
,,,,661,0.660,0.700,0.200,0.844,0.710,0.203,0.880,0.306
,,,,662,0.530,0.730,0.209,0.696,0.557,0.201,0.813,0.254
,,,,663,0.460,0.780,0.157,0.707,0.480,0.208,0.680,0.256
,,,,664,0.520,0.810,0.196,0.713,0.517,0.204,0.817,0.257
,,,,665,0.620,0.620,0.215,0.684,0.567,0.196,0.817,0.248
,,,,666,0.390,0.670,0.172,0.612,0.447,0.172,0.807,0.219
,,,,667,0.440,0.710,0.175,0.721,0.530,0.201,0.817,0.244
,,,,668,0.440,0.710,0.132,0.665,0.490,0.184,0.677,0.234
,,,,669,0.450,0.750,0.168,0.612,0.510,0.170,0.790,0.219
,,,,670,0.570,0.740,0.173,0.614,0.540,0.170,0.807,0.220
,,,,671,0.420,0.710,0.174,0.589,0.507,0.160,0.807,0.215
,,,,672,0.400,0.660,0.174,0.581,0.477,0.163,0.800,0.207
,,,,673,0.360,0.670,0.167,0.623,0.440,0.175,0.807,0.220
,,,,674,0.350,0.780,0.138,0.598,0.423,0.170,0.797,0.211
,,,,675,0.370,0.520,0.145,0.681,0.410,0.200,0.657,0.239
,,,,676,0.500,0.640,0.150,0.609,0.540,0.158,0.807,0.221
,,,,677,0.460,0.700,0.170,0.613,0.490,0.157,0.793,0.223
,,,,678,0.490,0.690,0.179,0.486,0.473,0.133,0.783,0.178
,,,,679,0.480,0.680,0.162,0.535,0.430,0.147,0.793,0.197
,,,,680,0.560,0.780,0.159,0.473,0.470,0.129,0.747,0.175
,,,,681,0.510,0.670,0.133,0.495,0.490,0.135,0.793,0.182
,,,,682,0.510,0.640,0.171,0.509,0.450,0.139,0.763,0.173
,,,,683,0.600,0.720,0.156,0.439,0.463,0.120,0.757,0.161
,,,,684,0.450,0.620,0.161,0.474,0.417,0.131,0.790,0.173
,,,,685,0.460,0.670,0.112,0.493,0.463,0.137,0.570,0.180
,,,,686,0.450,0.640,0.165,0.461,0.453,0.125,0.800,0.168
,,,,687,0.520,0.640,0.138,0.402,0.397,0.109,0.653,0.147
,,,,688,0.390,0.590,0.141,0.353,0.343,0.099,0.640,0.130
,,,,689,0.340,0.730,0.166,0.301,0.337,0.078,0.797,0.109
,,,,690,0.380,0.700,0.189,0.319,0.383,0.084,0.797,0.117
,,,,691,0.350,0.510,0.131,0.343,0.360,0.089,0.600,0.125
,,,,692,0.360,0.750,0.157,0.335,0.423,0.082,0.760,0.124
,,,,693,0.420,0.750,0.132,0.336,0.377,0.089,0.797,0.125
,,,,694,0.370,0.610,0.136,0.308,0.317,0.078,0.663,0.114
,,,,695,0.270,0.760,0.169,0.275,0.360,0.068,0.797,0.103
,,,,696,0.280,0.600,0.150,0.271,0.280,0.069,0.693,0.101
,,,,697,0.320,0.770,0.166,0.238,0.310,0.059,0.803,0.090
,,,,698,0.260,0.700,0.143,0.234,0.347,0.057,0.687,0.087
,,,,699,0.320,0.680,0.174,0.210,0.293,0.051,0.737,0.080
,,,,700,0.250,0.650,0.169,0.164,0.253,0.039,0.780,0.063
,,,,701,0.230,0.530,0.119,0.187,0.230,0.047,0.563,0.070
,,,,702,0.250,0.650,0.147,0.165,0.230,0.040,0.697,0.063
,,,,703,0.320,0.750,0.164,0.121,0.263,0.026,0.790,0.048
,,,,704,0.250,0.780,0.158,0.120,0.237,0.024,0.777,0.048
,,,,705,0.280,0.800,0.143,0.139,0.237,0.025,0.667,0.046
,,,,706,0.280,0.550,0.168,0.098,0.233,0.026,0.707,0.042
,,,,707,0.300,0.620,0.146,0.084,0.227,0.016,0.687,0.038
,,,,708,0.300,0.790,0.144,0.062,0.183,0.017,0.783,0.028
,,,,709,0.240,0.620,0.146,0.067,0.197,0.017,0.693,0.024
,,,,710,0.250,0.730,0.144,0.038,0.190,0.002,0.817,0.020
,,,,711,0.190,0.610,0.119,0.041,0.143,0.006,0.587,0.020
,,,,712,0.190,0.550,0.112,0.035,0.133,0.004,0.547,0.018
,,,,713,0.160,0.600,0.092,0.030,0.107,0.004,0.473,0.015
,,,,714,0.090,0.470,0.085,0.020,0.073,0.002,0.427,0.010
,,,,715,0.080,0.440,0.087,0.020,0.067,0.001,0.447,0.009
,,,,716,0.090,0.440,0.071,0.013,0.060,0.001,0.383,0.006
,,,,717,0.080,0.250,0.066,0.007,0.050,0.000,0.317,0.005
,,,,718,0.080,0.160,0.074,0.007,0.047,0.000,0.343,0.005
,,,,719,0.050,0.100,0.046,0.006,0.040,0.000,0.190,0.004
,,,,720,0.050,0.100,0.024,0.004,0.027,0.000,0.113,0.003